symbol,asset_type,price,future_price,price_change,signal,label,ma5_cross,ma10_cross,ma20_cross,price_vs_ma20,price_vs_ma50,mom5,mom10,mom20,vol10,vol20,vol_ratio,rsi,macd_cross,macd_hist,bb_position,roc5,roc10,score
ORCL,STOCK,36.457943,37.297962,2.3041,SELL,0,-0.1462,1.1324,-0.5887,0.1323,-0.4572,-1.2812,0.6531,-0.5302,4.151,7.0894,0.5855,61.9999,-0.0093,-0.0093,0.0326,-1.2812,0.6531,-3
ORCL,STOCK,55.335529,52.526581,-5.0762,SELL,1,-0.3075,0.6993,2.8852,-0.4976,2.3732,-1.3715,-1.9708,1.0652,3.0862,4.8935,0.6307,60.8921,-0.2056,-0.2056,-0.1876,-1.3715,-1.9708,-3
ORCL,STOCK,228.754837,243.200836,6.3151,SELL,0,6.7567,4.2917,19.1473,5.4902,25.6888,-2.642,8.5659,30.9955,12.8805,18.7431,0.6872,71.6459,-0.0666,-0.0666,0.5016,-2.642,8.5659,-1
AAPL,STOCK,0.073442,0.071734,-2.3256,BUY,0,0.2106,-2.5564,-8.684,3.4588,-5.5255,8.861,20.2804,1.1765,11.6887,31.4696,0.3714,39.7436,0.0012,0.0012,0.2677,8.861,20.2804,3
AAPL,STOCK,0.087105,0.102477,17.6477,BUY,1,2.6238,0.2165,-6.3598,-1.8057,-8.0507,1.4926,-0.9709,-3.7748,8.4592,10.1012,0.8374,38.2971,0.0006,0.0006,-0.3122,1.4926,-0.9709,3
AAPL,STOCK,0.085397,0.095218,11.5004,BUY,1,0.4816,0.0481,-5.6706,-3.6616,-9.1245,-6.5433,-1.4779,-0.9901,9.0015,10.1012,0.8911,36.1698,0.0002,0.0002,-0.6178,-6.5433,-1.4779,0
AAPL,STOCK,0.126816,0.116141,-8.4177,SELL,1,-0.4743,0.615,-0.1089,4.3759,4.2623,-1.3289,2.4147,3.1259,9.8543,9.8543,1.0,54.6405,-0.0,-0.0,0.8403,-1.3289,2.4147,-3
AAPL,STOCK,0.146884,0.18147,23.5465,SELL,0,-1.7596,-0.9544,8.2731,2.5948,11.0826,4.8782,3.9276,1.1765,6.173,8.0249,0.7692,60.2941,-0.0008,-0.0008,0.5753,4.8782,3.9276,0
AAPL,STOCK,0.149446,0.176346,17.9998,SELL,0,-0.2087,-0.5666,7.682,4.3843,12.4031,8.0249,3.8577,0.0,8.0249,8.0249,1.0,61.4286,-0.0003,-0.0003,0.9721,8.0249,3.8577,0
AAPL,STOCK,0.425646,0.447815,5.2083,SELL,0,4.6556,4.4122,14.9043,6.6544,22.5505,-2.0346,8.8258,18.4756,7.912,19.7561,0.4005,68.0873,-0.0016,-0.0016,0.624,-2.0346,8.8258,0
AAPL,STOCK,0.298714,0.332498,11.3098,BUY,1,-6.5925,-5.1739,-10.9375,-6.537,-16.7595,2.1276,-8.9431,-6.9253,11.854,19.7568,0.6,12.8191,0.0003,0.0003,-0.5378,2.1276,-8.9431,-1
AAPL,STOCK,0.269638,0.194537,-27.8525,BUY,0,-5.0935,-3.9438,-17.9773,-4.8381,-21.9457,2.0548,-4.4873,-11.3097,8.2196,15.7534,0.5218,35.2272,0.0022,0.0022,-0.5117,2.0548,-4.4873,0
AAPL,STOCK,0.178127,0.170856,-4.0819,BUY,0,-4.228,-2.4402,-5.8101,-5.2909,-10.7936,1.0311,-6.6665,-13.6559,10.3092,15.4638,0.6667,34.6157,0.0004,0.0004,-0.6875,1.0311,-6.6665,-2
AAPL,STOCK,0.225177,0.192064,-14.7053,BUY,0,0.5166,-1.5092,-4.2163,-0.3341,-4.5363,4.6809,-0.8066,-0.8066,9.3613,12.3403,0.7586,37.3238,0.001,0.001,-0.0491,4.6809,-0.8066,4
